Time (min),Force (N),Position (mm)
1.67E-05,0.148,0.0000
3.33E-05,0.245,0.0000
5E-05,0.219,0.0000
6.67E-05,0.124,0.0000
8.33E-05,0.0617,0.0000
0.000100,0.0250,0.0000
0.000117,0.0635,0.0000
0.000133,0.147,0.0000
0.000150,0.249,0.0000
0.000167,0.278,0.0000
0.000183,0.119,0.0000
0.000200,0.0885,0.0000
0.000217,0.0358,0.0000
0.000233,0.0840,0.0000
0.000250,0.133,0.0000
0.000267,0.133,0.0000
0.000283,0.133,0.0000
0.000300,0.133,0.0000
0.000317,0.133,0.0000
0.000333,0.133,0.0000
0.000350,0.133,0.0000
0.000367,0.133,0.0000
0.000383,0.133,0.0000
0.000400,0.133,0.0000
0.000417,0.133,0.0000
0.000433,0.133,0.0000
0.000450,0.133,0.0000
0.000467,0.133,0.0000
0.000483,0.133,0.0000
0.000500,0.133,0.0000
0.000517,0.133,0.0000
0.000533,0.133,0.0000
0.000550,0.133,0.0000
0.000567,0.133,0.0000
0.000583,0.133,0.0000
0.000600,0.133,0.0000
0.000617,0.133,0.0000
0.000633,0.133,0.0000
0.000650,0.133,0.0000
0.000667,0.133,0.0000
0.000683,0.133,0.0000
0.000700,0.133,0.0000
0.000717,0.133,0.0000
0.000733,0.133,0.0000
0.000750,0.133,0.0000
0.000767,0.133,0.0000
0.000783,0.133,0.0000
0.000800,0.133,0.0000
0.000817,0.133,0.0000
0.000833,0.133,0.0000
0.000850,0.133,0.0000
0.000867,0.133,0.0000
0.000883,0.133,0.0000
0.000900,0.133,0.0000
0.000917,0.133,0.0000
0.000933,0.133,0.0000
0.000950,0.133,0.0000
0.000967,0.133,0.0000
0.000983,0.133,0.0000
0.00100,0.133,0.0000
0.00102,0.133,0.0000
0.00103,0.133,0.0000
0.00105,0.133,0.0000
0.00107,0.133,0.0000
0.00108,0.133,0.0000
0.00110,0.133,0.0000
0.00112,0.133,0.0000
0.00113,0.133,0.0000
0.00115,0.133,0.0000
0.00117,0.133,0.0000
0.00118,0.133,0.0000
0.00120,0.133,0.0000
0.00122,0.133,0.0000
0.00123,0.133,0.0000
0.00125,0.133,0.0000
0.00127,0.133,0.0000
0.00128,0.133,0.0000
0.00130,0.133,0.0000
0.00132,0.133,0.0000
0.00133,0.133,0.0000
0.00135,0.133,0.0000
0.00137,0.133,0.0000
0.00138,0.133,0.0000
0.00140,0.133,0.0000
0.00142,0.204,0.0000
0.00143,0.204,0.0000
0.00145,0.204,0.0000
0.00147,0.204,0.0000
0.00148,0.204,0.0000
0.00150,0.204,0.0000
0.00152,0.204,0.0000
0.00153,0.204,0.0000
0.00155,0.204,0.0000
0.00157,0.204,0.0000
0.00158,0.204,0.0000
0.00160,0.204,0.0000
0.00162,0.204,0.0000
0.00163,0.204,0.0000
0.00165,0.204,0.0000
0.00167,0.204,0.0000
0.00168,0.204,0.0000
0.00170,0.204,0.0000
0.00172,0.204,0.0000
0.00173,0.204,0.0000
0.00175,0.204,0.0000
0.00177,0.204,0.0000
0.00178,0.204,0.0000
0.00180,0.204,0.0000
0.00182,0.204,0.0000
0.00183,0.204,0.0000
0.00185,0.204,0.0000
0.00187,0.204,0.0000
0.00188,0.204,0.0000
0.00190,0.204,0.0000
0.00192,0.204,0.0000
0.00193,0.204,0.0000
0.00195,0.204,0.0000
