Time (min),Force (N),Position (mm)
0.00233,0.232,0.0000
0.00467,1.52,0.00040000
0.00700,16.1,0.0058000
0.00933,34.2,0.012200
0.0117,49.5,0.018200
0.0140,65.3,0.024100
0.0163,80.8,0.029900
0.0187,97.2,0.035900
0.0210,112,0.041900
0.0233,129,0.048000
0.0257,145,0.054300
0.0280,159,0.060200
0.0303,169,0.065900
0.0327,169,0.071800
0.0350,165,0.077700
0.0373,158,0.083700
0.0397,136,0.089900
0.0420,128,0.096000
0.0443,124,0.10180
0.0467,124,0.10750
0.0490,130,0.11340
0.0513,141,0.11920
0.0537,154,0.12520
0.0560,168,0.13140
0.0583,182,0.13750
0.0607,196,0.14320
0.0630,211,0.14890
0.0653,224,0.15480
0.0677,239,0.16070
0.0700,254,0.16670
0.0723,268,0.17290
0.0747,284,0.17890
0.0770,297,0.18470
0.0793,311,0.19050
0.0817,325,0.19630
0.0840,341,0.20230
0.0863,356,0.20830
0.0887,371,0.21450
0.0910,385,0.22050
0.0933,398,0.22610
0.0957,412,0.23190
0.0980,427,0.23780
0.100,442,0.24380
0.103,458,0.24980
0.105,473,0.25600
0.107,488,0.26190
0.110,502,0.26760
0.112,516,0.27340
0.114,531,0.27930
0.117,544,0.28530
0.119,559,0.29140
0.121,574,0.29760
0.124,588,0.30330
0.126,602,0.30910
0.128,617,0.31500
0.131,631,0.32090
0.133,646,0.32690
0.135,659,0.33310
0.138,672,0.33910
0.140,685,0.34480
0.142,698,0.35050
0.145,711,0.35640
0.147,723,0.36240
0.149,737,0.36830
0.152,749,0.37460
0.154,763,0.38060
0.156,775,0.38630
0.159,788,0.39200
0.161,800,0.39790
0.163,813,0.40380
0.166,825,0.40990
0.168,838,0.41620
0.170,851,0.42200
0.173,863,0.42770
0.175,875,0.43360
0.177,888,0.43950
0.180,900,0.44540
0.182,913,0.45150
0.184,926,0.45770
0.187,938,0.46340
0.189,949,0.46920
0.191,961,0.47500
0.194,974,0.48090
0.196,987,0.48680
0.198,999,0.49300
0.201,1010,0.49910
0.203,1020,0.50480
0.205,1040,0.51060
0.208,1050,0.51640
0.210,1060,0.52240
0.212,1070,0.52840
0.215,1090,0.53460
0.217,1100,0.54060
0.219,1110,0.54630
0.222,1120,0.55200
0.224,1130,0.55800
0.226,1150,0.56390
0.229,1160,0.56990
0.231,1170,0.57620
0.233,1180,0.58210
0.236,1190,0.58770
