Time (min),Force (N),Position (mm)
0.00353,0.0760,0.0000
0.00707,3.79,0.0064000
0.0106,9.30,0.015500
0.0141,14.3,0.024500
0.0177,19.7,0.033600
0.0212,24.4,0.042900
0.0247,30.0,0.052000
0.0283,34.6,0.060600
0.0318,39.7,0.069600
0.0353,45.0,0.078700
0.0389,50.0,0.088000
0.0424,54.9,0.096700
0.0459,59.7,0.10550
0.0495,64.9,0.11450
0.0530,69.8,0.12380
0.0565,74.8,0.13280
0.0601,79.4,0.14150
0.0636,84.6,0.15040
0.0671,89.0,0.15950
0.0707,94.3,0.16880
0.0742,98.8,0.17750
0.0777,104,0.18640
0.0813,108,0.19530
0.0848,113,0.20470
0.0883,118,0.21360
0.0919,122,0.22230
0.0954,127,0.23130
0.0989,131,0.24040
0.102,135,0.24960
0.106,138,0.25840
0.110,137,0.26720
0.113,116,0.27620
0.117,121,0.28570
0.120,126,0.29450
0.124,131,0.30320
0.127,136,0.31210
0.131,141,0.32120
0.134,146,0.33050
0.138,150,0.33910
0.141,154,0.34800
0.145,159,0.35700
0.148,164,0.36640
0.152,168,0.37520
0.155,173,0.38390
0.159,177,0.39280
0.163,182,0.40200
0.166,187,0.41120
0.170,190,0.41990
0.173,195,0.42870
0.177,199,0.43770
0.180,205,0.44710
0.184,208,0.45590
0.187,213,0.46470
0.191,218,0.47360
0.194,222,0.48280
0.198,226,0.49200
0.201,231,0.50070
0.205,235,0.50960
0.208,239,0.51870
0.212,244,0.52800
0.216,248,0.53670
0.219,252,0.54550
0.223,257,0.55450
0.226,261,0.56370
0.230,266,0.57280
0.233,269,0.58150
0.237,274,0.59040
0.240,278,0.59950
0.244,283,0.60880
0.247,286,0.61760
0.251,291,0.62640
0.254,295,0.63530
0.258,299,0.64460
0.261,303,0.65370
0.265,307,0.66240
0.269,311,0.67120
0.272,315,0.68040
0.276,319,0.68970
0.279,323,0.69840
0.283,326,0.70720
0.286,330,0.71630
0.290,334,0.72560
0.293,337,0.73450
0.297,340,0.74330
0.300,343,0.75220
0.304,345,0.76130
0.307,348,0.77060
0.311,349,0.77930
0.314,350,0.78810
0.318,351,0.79710
0.322,351,0.80650
0.325,351,0.81530
0.329,350,0.82410
0.332,349,0.83300
0.336,348,0.84210
0.339,346,0.85140
0.343,344,0.86010
0.346,342,0.86890
0.350,340,0.87790
0.353,338,0.88720
0.357,336,0.89610
0.360,334,0.90480
0.364,332,0.91380
0.367,330,0.92290
0.371,328,0.93210
0.375,326,0.94080
0.378,325,0.94970
0.382,323,0.95870
0.385,321,0.96810
0.389,320,0.97690
0.392,319,0.98560
0.396,317,0.99460
0.399,317,1.0038
0.403,316,1.0130
0.406,315,1.0216
0.410,314,1.0305
0.413,313,1.0396
0.417,313,1.0490
0.420,312,1.0578
0.424,312,1.0665
0.428,311,1.0755
0.431,310,1.0847
0.435,310,1.0938
0.438,309,1.1025
0.442,309,1.1114
0.445,309,1.1204
0.449,309,1.1298
0.452,308,1.1385
0.456,308,1.1474
0.459,307,1.1563
0.463,307,1.1656
0.466,306,1.1747
0.470,306,1.1834
0.473,306,1.1923
0.477,306,1.2014
0.481,306,1.2107
0.484,306,1.2194
0.488,305,1.2282
0.491,305,1.2372
0.495,305,1.2465
0.498,305,1.2555
0.502,305,1.2643
0.505,304,1.2732
0.509,304,1.2822
0.512,304,1.2916
0.516,304,1.3003
0.519,303,1.3090
0.523,304,1.3180
0.526,304,1.3274
0.530,303,1.3364
0.534,303,1.3451
0.537,303,1.3540
0.541,303,1.3631
0.544,303,1.3724
0.548,303,1.3811
0.551,302,1.3899
0.555,303,1.3988
0.558,302,1.4082
0.562,302,1.4172
0.565,302,1.4259
0.569,302,1.4348
0.572,302,1.4438
0.576,302,1.4532
0.579,302,1.4619
0.583,302,1.4707
0.587,302,1.4797
0.590,302,1.4891
0.594,302,1.4980
0.597,302,1.5067
0.601,301,1.5156
0.604,301,1.5247
0.608,302,1.5340
0.611,301,1.5427
0.615,301,1.5515
0.618,301,1.5605
0.622,301,1.5698
0.625,301,1.5787
0.629,301,1.5875
0.632,301,1.5965
0.636,301,1.6056
0.640,301,1.6149
0.643,301,1.6235
0.647,301,1.6324
0.650,300,1.6414
0.654,301,1.6508
0.657,301,1.6597
0.661,301,1.6685
0.664,300,1.6774
0.668,300,1.6865
0.671,300,1.6958
0.675,300,1.7045
0.678,300,1.7133
0.682,301,1.7223
0.685,300,1.7317
0.689,300,1.7405
0.693,300,1.7492
0.696,300,1.7582
0.700,300,1.7673
0.703,300,1.7766
0.707,300,1.7852
0.710,300,1.7941
0.714,300,1.8031
0.717,300,1.8124
0.721,300,1.8213
0.724,300,1.8300
0.728,300,1.8389
0.731,300,1.8481
0.735,300,1.8573
0.738,300,1.8660
0.742,300,1.8748
0.746,300,1.8838
0.749,300,1.8932
0.753,300,1.9020
0.756,300,1.9108
0.760,300,1.9197
0.763,300,1.9288
0.767,300,1.9381
0.770,300,1.9468
0.774,300,1.9556
0.777,300,1.9646
0.781,300,1.9740
0.784,300,1.9828
0.788,300,1.9915
0.791,300,2.0005
0.795,300,2.0096
0.799,300,2.0189
0.802,300,2.0276
0.806,300,2.0364
0.809,300,2.0454
0.813,300,2.0548
0.816,300,2.0636
0.820,299,2.0723
0.823,299,2.0813
0.827,300,2.0905
0.830,300,2.0997
0.834,300,2.1083
0.837,299,2.1172
0.841,300,2.1262
0.844,300,2.1356
0.848,300,2.1444
0.852,299,2.1532
0.855,300,2.1621
0.859,300,2.1713
0.862,300,2.1805
0.866,300,2.1892
0.869,299,2.1980
0.873,300,2.2070
0.876,300,2.2164
0.880,300,2.2252
0.883,300,2.2340
0.887,300,2.2429
0.890,300,2.2521
0.894,300,2.2612
0.897,300,2.2699
