Time (min),Force (N),Position (mm)
0.00667,0.16230366492146597,0.00020861788681889214
0.0133,0.675392670157068,0.0008811127194914721
0.02,1.2041884816753927,0.0015605529939425387
0.0267,1.7120418848167542,0.0022273114739930944
0.0333,2.204188481675393,0.002885351443657134
0.04,2.7068062827225132,0.003562069452508356
0.0467,3.193717277486911,0.00421054282286709
0.0533,3.6858638743455496,0.004885463884002555
0.06,4.157068062827225,0.005536110001800998
0.0667,4.61780104712042,0.006193682678425404
0.0733,5.115183246073298,0.006858152756164127
0.08,5.602094240837696,0.007506222623387686
0.0867,6.0732984293193715,0.008180557996056152
0.0933,6.492146596858638,0.008819168032467026
0.1,6.910994764397906,0.009487858426957528
0.107,7.225130890052355,0.010132501948558068
0.113,6.12565445026178,0.010784012088686718
0.12,6.596858638743456,0.01144620749510588
0.127,7.068062827225131,0.012084462888991742
0.133,7.5916230366492155,0.012752593467842554
0.14,8.010471204188482,0.013385331292775962
0.147,8.429319371727749,0.014040222500844279
0.153,8.900523560209423,0.01468660051360431
0.16,9.31937172774869,0.015328314350620653
0.167,9.790575916230365,0.015988253844038014
0.173,10.209424083769635,0.016616852244746256
0.18,10.680628272251308,0.017278868400485946
0.187,11.099476439790577,0.017905819487996414
0.193,11.570680628272251,0.018554725233962645
0.2,11.98952879581152,0.019198986763047744
0.207,12.408376963350786,0.0198348383113375
0.213,12.879581151832461,0.020492530291461315
0.22,13.24607329842932,0.02111538891393909
0.227,13.717277486910994,0.021763829139883922
0.233,14.136125654450263,0.02239259789544989
0.24,14.55497382198953,0.023031832238411005
0.247,14.973821989528796,0.02367398398671582
0.253,15.392670157068062,0.024300300392584684
0.26,15.811518324607329,0.024952015355086374
0.267,16.17801047120419,0.02556921719448334
0.273,16.596858638743456,0.02621550540948788
0.28,16.963350785340314,0.026842294813146057
0.287,17.329842931937172,0.027472001531540155
0.293,17.643979057591626,0.02811205026267759
0.3,17.905759162303664,0.02873268735134639
0.307,18.167539267015705,0.029378496530219195
0.313,18.324607329842934,0.029986404533858823
0.32,18.376963350785342,0.030619449437644792
0.327,18.376963350785342,0.031247973820811393
0.333,18.272251308900525,0.031868303596952294
