Time (min),Force (N),Position (mm)
0.00521,-0.23971631205673757,3.4724288870776444e-06
0.0156,9.71631205673759,0.0010329869526648921
0.026,6.695035460992908,0.0020917179073580454
0.0364,8.184397163120568,0.0031201554190623836
0.0468,17.588652482269502,0.0041441716949544615
0.0572,28.085106382978722,0.005189464408107315
0.0676,38.58156028368794,0.00620534771075098
0.078,49.361702127659576,0.007230799296462771
0.0884,60.28368794326241,0.008269625719394966
0.0988,70.35460992907801,0.009275366841148618
0.109,80.0,0.010294495834664632
0.12,89.36170212765957,0.01133077213509737
0.13,98.01418439716312,0.012330317181952865
0.14,106.52482269503545,0.01334240747560159
0.151,115.177304964539,0.01436925452943893
0.161,123.26241134751773,0.015362668289638436
0.172,131.34751773049646,0.016369699384766356
0.182,139.57446808510636,0.017392538914543714
0.192,147.51773049645388,0.018374939034900253
0.203,154.60992907801418,0.019374685350538802
0.213,161.70212765957444,0.02039053249873692
0.224,168.79432624113474,0.021371474673748753
0.234,175.886524822695,0.0223700214000893
0.244,181.56028368794324,0.023373667231879544
0.255,187.23404255319147,0.02435276945532765
0.265,192.9078014184397,0.0253411306042885
0.276,197.16312056737587,0.026345033420515064
0.286,200.0,0.027317444908447217
0.296,202.8368794326241,0.02830538754930203
0.307,205.67375886524823,0.029300599617070554
0.317,208.51063829787233,0.030267119412296064
0.327,211.34751773049643,0.031246495896527973
0.338,212.76595744680853,0.032229795891929786
0.348,215.60283687943263,0.033191230207064555
0.359,217.02127659574467,0.03416911926870632
0.369,218.43971631205673,0.03514136698436093
0.379,219.8581560283688,0.03610068573466964
0.39,222.6950354609929,0.03707343111208162
0.4,224.11347517730496,0.03803547149517313
0.411,225.531914893617,0.03898904674523751
0.421,226.95035460992906,0.03995524830763765
0.431,228.36879432624113,0.040912266127966467
0.442,229.7872340425532,0.04186376358931414
0.452,231.20567375886523,0.04282780321444049
0.463,232.6241134751773,0.04377550559428976
0.473,234.04255319148933,0.04471774041897025
0.483,235.46099290780143,0.04567963390166743
0.494,236.87943262411346,0.04662170024134734
0.504,238.29787234042553,0.047558337051855575
0.515,239.71631205673756,0.04851452139156624
0.525,241.13475177304963,0.04945100181876698
0.535,242.5531914893617,0.05037854005047201
0.546,243.97163120567376,0.05133261623042907
0.556,245.3900709219858,0.05225648775209418
0.567,245.3900709219858,0.053182090976527124
0.577,246.80851063829786,0.05413054488038848
0.587,248.2269503546099,0.05504897748114748
0.598,249.645390070922,0.05597264550657846
0.608,251.06382978723403,0.056915519680390894
0.619,251.06382978723403,0.05782855447160503
0.629,252.4822695035461,0.058746799183259035
0.639,253.90070921985813,0.059684142720696574
0.65,255.3191489361702,0.060588352774962835
0.66,255.3191489361702,0.061501228546620115
0.671,256.73758865248226,0.06244001830825791
0.681,258.1560283687943,0.06333893854913414
0.691,258.1560283687943,0.06424303155785115
0.702,259.5744680851064,0.0651729062081352
0.712,260.9929078014184,0.0660665960701259
0.723,260.9929078014184,0.06696886100407375
0.733,262.41134751773046,0.06789332883182081
0.743,263.82978723404256,0.06877841325707582
0.754,263.82978723404256,0.06967885607126115
0.764,265.2482269503546,0.07059796409727254
0.775,266.66666666666663,0.07148131630317964
0.785,266.66666666666663,0.07237654208269727
0.795,268.0851063829787,0.07328694903443068
0.806,268.0851063829787,0.07416182484891343
0.816,269.5035460992908,0.07505189177378828
0.827,270.92198581560285,0.07595033414945594
0.837,270.92198581560285,0.07682354608794892
0.847,270.92198581560285,0.0777118539444158
0.858,272.3404255319149,0.07860848115500417
0.868,273.7588652482269,0.0794766788678288
0.878,273.7588652482269,0.08035989065696338
0.889,275.177304964539,0.08124805579066924
0.899,275.177304964539,0.08211460558030956
0.91,276.59574468085106,0.08299607565643402
0.92,276.59574468085106,0.08387585435790158
0.93,278.0141843971631,0.08473745657908012
0.941,278.0141843971631,0.08561389866874024
0.951,279.43262411347513,0.08648537837128256
0.962,279.43262411347513,0.08734208143495696
0.972,280.8510638297872,0.08821354469548486
0.982,280.8510638297872,0.08908007846822003
0.993,280.8510638297872,0.08993192404156217
1.0,282.2695035460993,0.09080495976632973
1.01,282.2695035460993,0.09165683224260632
1.02,283.68794326241135,0.09250710988524145
1.03,283.68794326241135,0.09337521416333525
1.04,285.1063829787234,0.09422227927908652
1.06,285.1063829787234,0.09506453899951191
1.07,285.1063829787234,0.09593097753352886
1.08,286.5248226950355,0.09677327586820003
1.09,286.5248226950355,0.09761400616748853
1.1,287.9432624113475,0.09847557188237592
1.11,287.9432624113475,0.09931313761715135
1.12,287.9432624113475,0.10014914850727498
1.13,289.36170212765956,0.10100588239458057
1.14,289.36170212765956,0.10183557933373175
1.15,289.36170212765956,0.10266691631839074
1.16,290.7801418439716,0.10352519305973204
1.17,290.7801418439716,0.10435024841938977
1.18,290.7801418439716,0.10517693893008755
1.19,292.1985815602837,0.1060272767267928
1.2,292.1985815602837,0.10684459447579867
1.21,292.1985815602837,0.1076666889164474
1.22,293.6170212765957,0.10851230358314878
1.23,293.6170212765957,0.10932508582389185
1.24,293.6170212765957,0.11014262241669849
1.25,295.03546099290776,0.110986664799972
1.26,295.03546099290776,0.11179183757680028
1.27,295.03546099290776,0.11260795438665139
1.28,296.45390070921985,0.11344423424618327
1.29,296.45390070921985,0.11424805239187898
1.3,296.45390070921985,0.11505966379235259
1.32,297.87234042553195,0.1158882538444938
1.33,297.87234042553195,0.11668764823302755
1.34,297.87234042553195,0.11749786323301532
