Time (min),Force (N),Position (mm)
1.67E-05,0.428,0.0000
3.33E-05,0.447,0.0000
5E-05,0.451,0.0000
6.67E-05,0.512,0.0000
8.33E-05,0.519,0.0000
0.000100,0.482,0.0000
0.000117,0.405,0.0000
0.000133,0.350,0.0000
0.000150,0.333,0.0000
0.000167,0.323,0.0000
0.000183,0.297,0.0000
0.000200,0.249,0.0000
0.000217,0.198,0.0000
0.000233,0.198,0.0000
0.000250,0.198,0.0000
0.000267,0.198,0.0000
0.000283,0.198,0.0000
0.000300,0.198,0.0000
0.000317,0.198,0.0000
0.000333,0.198,0.0000
0.000350,0.198,0.0000
0.000367,0.198,0.0000
0.000383,0.198,0.0000
0.000400,0.198,0.0000
0.000417,0.198,0.0000
0.000433,0.198,0.0000
0.000450,0.198,0.0000
0.000467,0.198,0.0000
0.000483,0.198,0.0000
0.000500,0.198,0.0000
0.000517,0.198,0.0000
0.000533,0.198,0.0000
0.000550,0.198,0.0000
0.000567,0.198,0.0000
0.000583,0.198,0.0000
0.000600,0.198,0.0000
0.000617,0.198,0.0000
0.000633,0.198,0.0000
0.000650,0.198,0.0000
0.000667,0.198,0.0000
0.000683,0.198,0.0000
0.000700,0.198,0.0000
0.000717,0.198,0.0000
0.000733,0.198,0.0000
0.000750,0.198,0.0000
0.000767,0.198,0.0000
0.000783,0.198,0.0000
0.000800,0.198,0.0000
0.000817,0.198,0.0000
0.000833,0.198,0.0000
0.000850,0.198,0.0000
0.000867,0.198,0.0000
0.000883,0.198,0.0000
0.000900,0.198,0.0000
0.000917,0.198,0.0000
0.000933,0.198,0.0000
0.000950,0.198,0.0000
0.000967,0.198,0.0000
0.000983,0.198,0.0000
0.00100,0.198,0.0000
0.00102,0.198,0.0000
0.00103,0.198,0.0000
0.00105,0.198,0.0000
0.00107,0.198,0.0000
0.00108,0.198,0.0000
0.00110,0.198,0.0000
0.00112,0.198,0.0000
0.00113,0.198,0.0000
0.00115,0.198,0.0000
0.00117,0.198,0.0000
0.00118,0.198,0.0000
0.00120,0.198,0.0000
0.00122,0.198,0.0000
0.00123,0.198,0.0000
0.00125,0.198,0.0000
0.00127,0.198,0.0000
0.00128,0.198,0.0000
0.00130,0.198,0.0000
0.00132,0.198,0.0000
0.00133,0.198,0.0000
0.00135,0.198,0.0000
0.00137,0.198,0.0000
0.00138,0.198,0.0000
0.00140,0.198,0.0000
0.00142,0.198,0.0000
0.00143,0.198,0.0000
0.00145,0.198,0.0000
0.00147,0.198,0.0000
0.00148,0.198,0.0000
0.00150,0.198,0.0000
0.00152,0.198,0.0000
0.00153,0.198,0.0000
0.00155,0.198,0.0000
