Time (min),Force (N),Position (mm)
0.00167,0.198,0.0000
0.00333,0.229,0.0000
0.00500,2.52,0.00090000
0.00667,13.2,0.0049000
0.00833,26.3,0.0094000
0.0100,37.6,0.014000
0.0117,49.5,0.018200
0.0133,60.9,0.022400
0.0150,71.6,0.026600
0.0167,83.2,0.030800
0.0183,94.4,0.035100
0.0200,105,0.039300
0.0217,117,0.043600
0.0233,129,0.048000
0.0250,139,0.052500
0.0267,151,0.056900
0.0283,160,0.061000
0.0300,167,0.065100
0.0317,169,0.069300
0.0333,169,0.073500
0.0350,165,0.077700
0.0367,163,0.082000
0.0383,147,0.086300
0.0400,135,0.090800
0.0417,128,0.095200
0.0433,126,0.099300
0.0450,122,0.10340
0.0467,124,0.10750
0.0483,128,0.11160
0.0500,135,0.11590
0.0517,142,0.12010
0.0533,151,0.12430
0.0550,161,0.12870
0.0567,173,0.13310
0.0583,182,0.13750
0.0600,192,0.14150
0.0617,203,0.14560
0.0633,212,0.14970
0.0650,222,0.15390
0.0667,233,0.15820
0.0683,243,0.16240
0.0700,254,0.16670
0.0717,264,0.17110
0.0733,275,0.17560
0.0750,285,0.17980
0.0767,295,0.18380
0.0783,306,0.18800
0.0800,315,0.19210
0.0817,325,0.19630
0.0833,336,0.20050
0.0850,346,0.20480
0.0867,357,0.20920
0.0883,368,0.21370
0.0900,379,0.21800
0.0917,389,0.22200
0.0933,398,0.22610
0.0950,409,0.23030
0.0967,420,0.23440
0.0983,429,0.23870
0.100,440,0.24290
0.102,451,0.24720
0.103,462,0.25160
0.105,473,0.25600
0.107,483,0.26020
0.108,492,0.26430
0.110,503,0.26840
0.112,514,0.27260
0.113,524,0.27680
0.115,534,0.28100
0.117,544,0.28530
0.118,556,0.28970
0.120,567,0.29410
0.122,576,0.29840
0.123,586,0.30250
0.125,597,0.30660
0.127,607,0.31080
0.128,617,0.31500
0.130,626,0.31920
0.132,636,0.32350
0.133,648,0.32770
0.135,657,0.33220
0.137,667,0.33660
0.138,676,0.34080
0.140,685,0.34480
0.142,695,0.34890
0.143,703,0.35300
0.145,713,0.35730
0.147,721,0.36150
0.148,731,0.36580
0.150,742,0.37010
0.152,749,0.37460
0.153,759,0.37890
0.155,768,0.38300
0.157,776,0.38710
0.158,786,0.39120
0.160,794,0.39540
0.162,803,0.39960
0.163,813,0.40380
0.165,821,0.40820
0.167,831,0.41260
0.168,841,0.41700
0.170,849,0.42120
0.172,858,0.42530
0.173,867,0.42940
0.175,875,0.43360
0.177,884,0.43780
0.178,893,0.44200
0.180,903,0.44630
0.182,911,0.45060
0.183,920,0.45500
0.185,929,0.45940
0.187,938,0.46340
0.188,947,0.46750
0.190,954,0.47160
0.192,963,0.47580
0.193,973,0.48000
0.195,981,0.48430
0.197,991,0.48850
0.198,999,0.49300
0.200,1010,0.49740
0.202,1020,0.50160
0.203,1030,0.50560
0.205,1030,0.50970
0.207,1040,0.51390
0.208,1050,0.51810
0.210,1060,0.52240
0.212,1070,0.52670
0.213,1080,0.53100
0.215,1090,0.53550
0.217,1100,0.53980
0.218,1110,0.54390
0.220,1110,0.54790
0.222,1120,0.55200
0.223,1130,0.55620
0.225,1140,0.56050
0.227,1150,0.56480
0.228,1160,0.56900
0.230,1170,0.57350
0.232,1170,0.57790
0.233,1180,0.58210
0.235,1190,0.58610
0.237,1200,0.59020
0.238,1210,0.59440
0.240,1220,0.59860
0.242,1230,0.60290
0.243,1230,0.60710
0.245,1240,0.61150
0.247,1250,0.61600
0.248,1260,0.62020
0.250,1270,0.62430
0.252,1280,0.62830
0.253,1280,0.63250
0.255,1290,0.63660
0.257,1300,0.64090
0.258,1310,0.64530
0.260,1320,0.64960
0.262,1330,0.65400
0.263,1340,0.65840
0.265,1340,0.66260
0.267,1350,0.66660
0.268,1360,0.67060
0.270,1370,0.67480
0.272,1380,0.67910
0.273,1390,0.68340
0.275,1390,0.68770
0.277,1400,0.69200
0.278,1410,0.69650
0.280,1420,0.70080
0.282,1430,0.70480
0.283,1440,0.70880
0.285,1440,0.71300
0.287,1450,0.71720
0.288,1460,0.72150
0.290,1470,0.72580
0.292,1480,0.73010
0.293,1490,0.73450
0.295,1490,0.73890
0.297,1500,0.74300
0.298,1510,0.74700
0.300,1520,0.75110
0.302,1530,0.75530
0.303,1540,0.75960
0.305,1540,0.76390
0.307,1550,0.76820
0.308,1560,0.77260
0.310,1570,0.77710
0.312,1580,0.78130
0.313,1580,0.78530
0.315,1590,0.78930
0.317,1600,0.79350
0.318,1610,0.79770
0.320,1620,0.80200
0.322,1620,0.80620
0.323,1630,0.81060
0.325,1640,0.81500
0.327,1650,0.81940
0.328,1660,0.82350
0.330,1660,0.82750
0.332,1670,0.83160
0.333,1680,0.83580
0.335,1690,0.84010
0.337,1700,0.84440
0.338,1700,0.84860
0.340,1710,0.85310
0.342,1720,0.85750
0.343,1730,0.86160
0.345,1730,0.86570
0.347,1740,0.86970
0.348,1750,0.87390
0.350,1760,0.87810
0.352,1760,0.88240
0.353,1770,0.88670
0.355,1780,0.89100
0.357,1790,0.89550
