Time (min),Force (N),Position (mm)
0.00167,0.204,0.0000
0.00333,0.309,0.0000
0.00500,0.783,0.0011000
0.00667,3.10,0.0053000
0.00833,5.87,0.0097000
0.0100,8.44,0.014000
0.0117,10.6,0.018200
0.0133,12.9,0.022400
0.0150,15.7,0.026700
0.0167,17.9,0.031000
0.0183,20.7,0.035300
0.0200,23.0,0.039700
0.0217,25.5,0.044200
0.0233,28.2,0.048500
0.0250,30.2,0.052600
0.0267,32.7,0.056700
0.0283,34.9,0.060800
0.0300,37.0,0.065000
0.0317,39.8,0.069200
0.0333,42.1,0.073500
0.0350,44.5,0.077800
0.0367,46.9,0.082200
0.0383,49.2,0.086600
0.0400,51.7,0.090800
0.0417,54.2,0.094900
0.0433,56.2,0.099000
0.0450,58.6,0.10320
0.0467,61.0,0.10740
0.0483,63.4,0.11160
0.0500,65.5,0.11590
0.0517,67.9,0.12030
0.0533,70.4,0.12470
0.0550,72.9,0.12900
0.0567,74.9,0.13310
0.0583,77.3,0.13720
0.0600,79.4,0.14140
0.0617,81.8,0.14560
0.0633,84.2,0.14970
0.0650,86.6,0.15400
0.0667,88.2,0.15830
0.0683,90.6,0.16280
0.0700,93.3,0.16710
0.0717,95.5,0.17130
0.0733,97.7,0.17540
0.0750,99.7,0.17950
0.0767,102,0.18370
0.0783,104,0.18790
0.0800,107,0.19210
0.0817,109,0.19640
0.0833,111,0.20070
0.0850,113,0.20520
0.0867,116,0.20950
0.0883,118,0.21360
0.0900,120,0.21770
0.0917,122,0.22180
0.0933,124,0.22600
0.0950,126,0.23020
0.0967,128,0.23450
0.0983,130,0.23880
0.100,132,0.24330
0.102,135,0.24760
0.103,136,0.25180
0.105,137,0.25590
0.107,138,0.26000
0.108,139,0.26420
0.110,136,0.26840
0.112,114,0.27270
0.113,117,0.27690
0.115,119,0.28130
0.117,121,0.28580
0.118,124,0.29000
0.120,126,0.29410
0.122,128,0.29820
0.123,131,0.30230
0.125,133,0.30650
0.127,135,0.31070
0.128,137,0.31500
0.130,140,0.31930
0.132,142,0.32380
0.133,145,0.32810
0.135,146,0.33230
0.137,149,0.33630
0.138,150,0.34040
0.140,153,0.34460
0.142,155,0.34880
0.143,156,0.35310
0.145,159,0.35730
0.147,161,0.36170
0.148,164,0.36620
0.150,166,0.37040
0.152,168,0.37450
0.153,170,0.37860
0.155,172,0.38280
0.157,174,0.38690
0.158,176,0.39120
0.160,178,0.39540
0.162,180,0.39970
0.163,183,0.40420
0.165,185,0.40850
0.167,187,0.41270
