Time (min),Force (N),Position (mm)
1.67E-05,-1.94,0.0000
0.00521,-1.69,8.8200E-05
0.0104,42.2,0.013000
0.0156,68.5,0.026265
0.0208,58.7,0.039800
0.0260,47.2,0.053241
0.0312,42.3,0.066200
0.0364,57.7,0.079500
0.0416,88.5,0.092900
0.0468,124,0.10570
0.0520,160,0.11900
0.0572,198,0.13250
0.0624,234,0.14540
0.0676,272,0.15860
0.0728,312,0.17213
0.0780,348,0.18500
0.0832,386,0.19821
0.0884,425,0.21180
0.0936,461,0.22460
0.0988,496,0.23780
0.104,532,0.25146
0.109,564,0.26420
0.114,596,0.27744
0.120,630,0.29110
0.125,660,0.30390
0.130,691,0.31710
0.135,722,0.33070
0.140,751,0.34348
0.146,781,0.35667
0.151,812,0.37030
0.156,840,0.38310
0.161,869,0.39630
0.166,899,0.41000
0.172,926,0.42271
0.177,954,0.43590
0.182,984,0.44959
0.187,1010,0.46238
0.192,1040,0.47546
0.198,1060,0.48910
0.203,1090,0.50184
0.208,1120,0.51503
0.213,1140,0.52870
0.218,1170,0.54150
0.224,1190,0.55469
0.229,1220,0.56830
0.234,1240,0.58120
0.239,1260,0.59430
0.244,1280,0.60790
0.250,1300,0.62080
0.255,1320,0.63400
0.260,1340,0.64760
0.265,1360,0.66040
0.270,1370,0.67369
0.276,1390,0.68727
0.281,1400,0.70020
0.286,1410,0.71335
0.291,1420,0.72690
0.296,1430,0.73990
0.302,1440,0.75302
0.307,1450,0.76670
0.312,1460,0.77960
0.317,1470,0.79278
0.322,1480,0.80627
0.327,1490,0.81926
0.333,1500,0.83240
0.338,1500,0.84590
0.343,1510,0.85900
0.348,1520,0.87200
0.353,1520,0.88550
0.359,1530,0.89860
0.364,1540,0.91160
0.369,1540,0.92510
0.374,1550,0.93825
0.379,1550,0.95130
0.385,1560,0.96473
0.390,1570,0.97792
0.395,1570,0.99090
0.400,1580,1.0043
0.405,1580,1.0175
0.411,1590,1.0305
0.416,1600,1.0440
0.421,1600,1.0571
0.426,1610,1.0701
0.431,1610,1.0835
0.437,1620,1.0969
0.442,1620,1.1098
0.447,1630,1.1232
0.452,1630,1.1365
0.457,1640,1.1494
0.463,1640,1.1628
0.468,1650,1.1761
0.473,1650,1.1890
0.478,1660,1.2025
0.483,1660,1.2158
0.489,1670,1.2286
0.494,1670,1.2421
0.499,1680,1.2554
0.504,1680,1.2683
0.509,1690,1.2817
0.515,1690,1.2951
0.520,1700,1.3079
0.525,1700,1.3214
0.530,1700,1.3347
0.535,1710,1.3475
0.541,1710,1.3610
0.546,1720,1.3744
0.551,1720,1.3871
0.556,1730,1.4005
0.561,1730,1.4140
0.567,1730,1.4267
0.572,1740,1.4401
0.577,1740,1.4536
0.582,1750,1.4663
0.587,1750,1.4797
0.593,1760,1.4933
0.598,1760,1.5060
0.603,1760,1.5193
0.608,1770,1.5329
0.613,1770,1.5457
0.619,1770,1.5590
0.624,1780,1.5726
0.629,1780,1.5853
0.634,1790,1.5986
0.639,1790,1.6122
0.645,1790,1.6248
0.650,1800,1.6382
0.655,1800,1.6518
0.660,1800,1.6645
0.665,1810,1.6779
0.671,1810,1.6916
0.676,1810,1.7042
0.681,1820,1.7176
0.686,1820,1.7312
0.691,1820,1.7438
0.697,1830,1.7571
0.702,1830,1.7708
0.707,1830,1.7835
0.712,1840,1.7968
0.717,1840,1.8105
0.723,1840,1.8231
0.728,1850,1.8364
0.733,1850,1.8501
0.738,1850,1.8628
0.743,1860,1.8760
0.749,1860,1.8898
0.754,1860,1.9024
0.759,1870,1.9157
0.764,1870,1.9294
0.769,1870,1.9421
0.775,1880,1.9554
0.780,1880,1.9691
0.785,1880,1.9818
0.790,1890,1.9950
0.795,1890,2.0087
0.801,1890,2.0214
0.806,1890,2.0346
0.811,1900,2.0482
0.816,1900,2.0610
0.821,1900,2.0741
0.827,1910,2.0877
0.832,1910,2.1005
0.837,1910,2.1137
0.842,1910,2.1273
0.847,1910,2.1402
0.852,1920,2.1534
0.858,1920,2.1670
0.863,1920,2.1798
0.868,1930,2.1930
0.873,1930,2.2066
0.878,1930,2.2195
0.884,1930,2.2326
0.889,1940,2.2462
0.894,1940,2.2592
0.899,1940,2.2723
0.904,1950,2.2859
0.910,1950,2.2989
0.915,1950,2.3120
0.920,1950,2.3255
0.925,1950,2.3385
0.930,1960,2.3516
0.936,1960,2.3651
0.941,1960,2.3782
0.946,1960,2.3912
0.951,1970,2.4047
0.956,1970,2.4178
0.962,1970,2.4308
0.967,1970,2.4443
0.972,1980,2.4574
0.977,1980,2.4704
0.982,1980,2.4839
0.988,1980,2.4972
0.993,1980,2.5100
0.998,1990,2.5235
1.00,1990,2.5368
1.01,1990,2.5496
1.01,1990,2.5630
1.02,2000,2.5764
1.02,2000,2.5892
1.03,2000,2.6026
1.03,2000,2.6160
1.04,2000,2.6287
1.04,2010,2.6422
1.05,2010,2.6556
1.06,2010,2.6683
1.06,2010,2.6819
1.07,2010,2.6952
1.07,2020,2.7079
1.08,2020,2.7214
1.08,2020,2.7349
1.09,2020,2.7476
1.09,2020,2.7611
1.10,2030,2.7745
1.10,2030,2.7872
1.11,2030,2.8007
1.11,2030,2.8142
1.12,2030,2.8269
1.12,2040,2.8403
1.13,2040,2.8538
1.13,2040,2.8665
1.14,2040,2.8799
1.14,2040,2.8935
1.15,2040,2.9061
1.15,2050,2.9196
1.16,2050,2.9332
1.16,2050,2.9458
1.17,2050,2.9593
1.17,2050,2.9729
1.18,2050,2.9855
1.19,2060,2.9989
1.19,2060,3.0125
1.20,2060,3.0251
1.20,2060,3.0385
1.21,2060,3.0521
1.21,2060,3.0647
1.22,2070,3.0780
1.22,2070,3.0917
1.23,2070,3.1043
1.23,2070,3.1177
1.24,2070,3.1313
1.24,2070,3.1439
1.25,2080,3.1573
1.25,2080,3.1710
1.26,2080,3.1836
1.26,2080,3.1969
1.27,2080,3.2106
1.27,2080,3.2232
1.28,2080,3.2365
1.28,2090,3.2502
1.29,2090,3.2629
1.29,2090,3.2762
1.30,2090,3.2899
1.30,2090,3.3025
1.31,2090,3.3158
1.32,2100,3.3294
1.32,2100,3.3421
1.33,2100,3.3554
1.33,2100,3.3691
1.34,2100,3.3818
1.34,2100,3.3951
1.35,2100,3.4087
1.35,2100,3.4214
1.36,2110,3.4347
1.36,2110,3.4483
1.37,2110,3.4610
1.37,2110,3.4743
1.38,2110,3.4880
1.38,2110,3.5008
1.39,2110,3.5139
1.39,2120,3.5276
1.40,2120,3.5405
1.40,2120,3.5536
1.41,2120,3.5672
1.41,2120,3.5801
1.42,2120,3.5933
1.42,2120,3.6069
1.43,2120,3.6198
1.43,2120,3.6329
1.44,2130,3.6465
1.45,2130,3.6595
1.45,2130,3.6725
1.46,2130,3.6861
1.46,2130,3.6991
1.47,2130,3.7121
1.47,2130,3.7257
1.48,2130,3.7387
1.48,2130,3.7517
1.49,2140,3.7653
1.49,2140,3.7784
1.50,2140,3.7913
1.50,2140,3.8049
1.51,2140,3.8180
1.51,2140,3.8310
1.52,2140,3.8445
1.52,2140,3.8577
1.53,2140,3.8706
1.53,2150,3.8842
1.54,2150,3.8974
1.54,2150,3.9102
1.55,2150,3.9238
1.55,2150,3.9372
1.56,2150,3.9499
1.56,2150,3.9634
1.57,2150,3.9767
1.58,2150,3.9895
1.58,2150,4.0030
1.59,2150,4.0164
1.59,2150,4.0291
1.60,2160,4.0426
1.60,2160,4.0560
1.61,2160,4.0687
1.61,2160,4.0823
1.62,2160,4.0957
1.62,2160,4.1084
1.63,2160,4.1220
1.63,2160,4.1354
1.64,2160,4.1482
1.64,2170,4.1616
1.65,2170,4.1751
1.65,2170,4.1877
1.66,2170,4.2012
1.66,2170,4.2147
1.67,2170,4.2274
1.67,2170,4.2409
1.68,2170,4.2544
1.68,2170,4.2670
1.69,2170,4.2804
1.69,2170,4.2941
1.70,2170,4.3067
1.70,2180,4.3201
1.71,2180,4.3337
1.72,2180,4.3464
1.72,2180,4.3597
1.73,2180,4.3734
1.73,2180,4.3860
1.74,2180,4.3994
1.74,2180,4.4130
1.75,2180,4.4256
1.75,2180,4.4390
1.76,2180,4.4527
1.76,2180,4.4652
1.77,2180,4.4786
1.77,2190,4.4923
1.78,2180,4.5049
1.78,2190,4.5183
1.79,2190,4.5319
1.79,2190,4.5445
1.80,2190,4.5579
1.80,2190,4.5715
1.81,2190,4.5841
1.81,2190,4.5975
1.82,2190,4.6112
1.82,2190,4.6238
1.83,2190,4.6371
1.83,2190,4.6508
1.84,2190,4.6634
1.85,2190,4.6767
1.85,2200,4.6903
1.86,2190,4.7030
1.86,2200,4.7163
1.87,2200,4.7300
1.87,2200,4.7427
1.88,2200,4.7559
1.88,2200,4.7696
1.89,2200,4.7823
1.89,2200,4.7955
1.90,2200,4.8091
1.90,2200,4.8219
1.91,2200,4.8351
1.91,2200,4.8488
1.92,2200,4.8615
1.92,2200,4.8747
1.93,2200,4.8884
1.93,2200,4.9012
1.94,2200,4.9143
1.94,2210,4.9279
1.95,2200,4.9408
1.95,2210,4.9540
1.96,2210,4.9675
1.96,2210,4.9804
1.97,2210,4.9936
1.98,2210,5.0071
1.98,2210,5.0201
1.99,2210,5.0332
1.99,2210,5.0468
2.00,2210,5.0599
2.00,2210,5.0729
2.01,2210,5.0864
2.01,2210,5.0995
2.02,2210,5.1124
2.02,2210,5.1260
2.03,2210,5.1391
2.03,2210,5.1521
2.04,2210,5.1656
2.04,2210,5.1787
2.05,2210,5.1917
2.05,2220,5.2052
2.06,2220,5.2185
2.06,2220,5.2313
2.07,2220,5.2449
2.07,2220,5.2581
2.08,2220,5.2709
2.08,2220,5.2844
2.09,2220,5.2978
2.09,2220,5.3106
2.10,2220,5.3241
2.11,2220,5.3374
2.11,2220,5.3502
2.12,2220,5.3637
2.12,2220,5.3771
2.13,2220,5.3899
2.13,2220,5.4034
2.14,2220,5.4167
2.14,2220,5.4295
2.15,2220,5.4430
2.15,2220,5.4564
2.16,2220,5.4691
2.16,2230,5.4826
2.17,2230,5.4960
2.17,2230,5.5088
2.18,2230,5.5222
