Time (min),Force (N),Position (mm)
0.0208,58.7,0.039800
0.0468,124,0.10570
0.0728,312,0.17213
0.0988,496,0.23780
0.125,660,0.30390
0.151,812,0.37030
0.177,954,0.43590
0.203,1090,0.50184
0.229,1220,0.56830
0.255,1320,0.63400
0.281,1400,0.70020
0.307,1450,0.76670
0.333,1500,0.83240
0.359,1530,0.89860
0.385,1560,0.96473
0.411,1590,1.0305
0.437,1620,1.0969
0.463,1640,1.1628
0.489,1670,1.2286
0.515,1690,1.2951
0.541,1710,1.3610
0.567,1730,1.4267
0.593,1760,1.4933
0.619,1770,1.5590
0.645,1790,1.6248
0.671,1810,1.6916
0.697,1830,1.7571
0.723,1840,1.8231
0.749,1860,1.8898
0.775,1880,1.9554
0.801,1890,2.0214
0.827,1910,2.0877
0.852,1920,2.1534
0.878,1930,2.2195
0.904,1950,2.2859
0.930,1960,2.3516
0.956,1970,2.4178
0.982,1980,2.4839
1.01,1990,2.5496
1.03,2000,2.6160
1.06,2010,2.6819
1.09,2020,2.7476
1.11,2030,2.8142
1.14,2040,2.8799
1.16,2050,2.9458
1.19,2060,3.0125
1.22,2070,3.0780
1.24,2070,3.1439
1.27,2080,3.2106
1.29,2090,3.2762
1.32,2100,3.3421
1.35,2100,3.4087
1.37,2110,3.4743
1.40,2120,3.5405
1.42,2120,3.6069
1.45,2130,3.6725
1.48,2130,3.7387
1.50,2140,3.8049
1.53,2140,3.8706
1.55,2150,3.9372
1.58,2150,4.0030
1.61,2160,4.0687
1.63,2160,4.1354
1.66,2170,4.2012
1.68,2170,4.2670
1.71,2180,4.3337
1.74,2180,4.3994
1.76,2180,4.4652
1.79,2190,4.5319
1.81,2190,4.5975
1.84,2190,4.6634
1.87,2200,4.7300
1.89,2200,4.7955
1.92,2200,4.8615
1.94,2210,4.9279
1.97,2210,4.9936
2.00,2210,5.0599
2.02,2210,5.1260
2.05,2210,5.1917
2.07,2220,5.2581
2.10,2220,5.3241
2.13,2220,5.3899
2.15,2220,5.4564
2.18,2230,5.5222
2.20,2230,5.5880
2.23,2230,5.6546
2.26,2230,5.7203
2.28,2230,5.7863
2.31,2240,5.8530
2.33,2240,5.9185
2.36,2240,5.9843
2.39,2240,6.0510
2.41,2240,6.1166
2.44,2240,6.1828
2.46,2240,6.2491
2.49,2240,6.3147
2.52,2240,6.3812
2.54,2250,6.4471
2.57,2250,6.5128
2.59,2250,6.5794
2.62,2250,6.6452
2.65,2250,6.7112
2.67,2250,6.7778
2.70,2250,6.8436
2.72,2250,6.9093
2.75,2250,6.9760
2.78,2250,7.0417
2.80,2250,7.1075
2.83,2250,7.1743
2.85,2250,7.2399
2.88,2250,7.3058
2.91,2250,7.3724
2.93,2250,7.4380
2.96,2250,7.5039
2.98,2250,7.5705
3.01,2250,7.6362
3.04,2250,7.7022
3.06,2250,7.7687
3.09,2250,7.8343
3.11,2250,7.9004
3.14,2250,7.9668
3.17,2250,8.0324
3.19,2250,8.0987
3.22,2250,8.1648
3.24,2250,8.2305
3.27,2250,8.2970
3.30,2250,8.3629
3.32,2250,8.4287
3.35,2250,8.4953
3.37,2250,8.5610
3.40,2250,8.6268
3.43,2250,8.6935
3.45,2240,8.7592
3.48,2240,8.8250
3.50,2240,8.8917
3.53,2240,8.9572
3.56,2240,9.0231
3.58,2240,9.0897
3.61,2240,9.1553
3.63,2240,9.2213
3.66,2240,9.2878
3.69,2240,9.3533
3.71,2230,9.4196
3.74,2230,9.4858
3.76,2230,9.5515
3.79,2230,9.6180
3.82,2230,9.6839
3.84,2230,9.7497
3.87,2230,9.8163
3.89,2230,9.8821
3.92,2220,9.9479
3.95,2220,10.015
3.97,2220,10.080
4.00,2220,10.146
4.02,2220,10.213
4.05,2220,10.278
4.08,2210,10.344
4.10,2210,10.411
4.13,2210,10.476
4.15,2210,10.542
4.18,2210,10.609
4.21,2210,10.674
4.23,2200,10.741
4.26,2200,10.807
4.28,2200,10.873
4.31,2200,10.939
4.34,2200,11.005
4.36,2190,11.071
4.39,2190,11.137
4.41,2190,11.203
4.44,2190,11.269
4.47,2180,11.336
4.49,2180,11.401
4.52,2180,11.467
4.54,2180,11.534
4.57,2170,11.599
4.60,2170,11.665
4.62,2160,11.732
4.65,2160,11.797
4.67,2150,11.863
4.70,2150,11.930
4.73,2140,11.995
4.75,2130,12.062
4.78,2120,12.128
4.80,2100,12.193
4.83,2090,12.260
4.85,2080,12.326
4.88,2060,12.391
4.91,2040,12.458
4.93,2020,12.524
4.96,1990,12.590
4.98,1970,12.656
5.01,1940,12.722
5.04,1900,12.788
5.06,1860,12.855
5.09,1810,12.920
5.11,1750,12.986
5.14,1670,13.053
5.17,1560,13.118
