Time (min),Force (N),Position (mm)
0.00667,1.6156670746634028,0.00019287617743033825
0.0133,7.4541003671970625,0.0008811127194914721
0.02,12.851897184822523,0.0015448538285251561
0.0267,18.482252141982865,0.0022351503914459342
0.0333,20.685434516523866,0.002885351443657134
0.04,16.523867809057528,0.003562069452508356
0.0467,15.17747858017136,0.004214446731353523
0.0533,18.482252141982865,0.00486986910512727
0.06,23.50061199510404,0.005540003523677153
0.0667,28.518971848225213,0.006189794273462138
0.0733,33.65973072215422,0.006865919079122289
0.08,38.555691554467565,0.007506222623387686
0.0867,43.696450428396574,0.008168939287443576
0.0933,48.71481028151775,0.008823035889191099
0.1,53.85556915544676,0.009472407567006853
0.107,59.1187270501836,0.010140217145618507
0.113,64.13708690330478,0.010780159521435692
0.12,69.40024479804161,0.01144620749510588
0.127,74.29620563035496,0.012088305303607823
0.133,79.31456548347613,0.012737244293115981
0.14,83.84332925336598,0.013392995867126566
0.147,88.24969400244798,0.01403256797934903
0.153,92.90085679314565,0.014698067023806292
0.16,97.18482252141983,0.015328314350620653
0.167,101.71358629130967,0.015984441706763365
0.173,106.11995104039168,0.016624466692993257
0.18,110.52631578947368,0.01726746188042389
0.187,114.81028151774787,0.017917211194197206
0.193,119.09424724602204,0.01854714064914992
0.2,123.62301101591187,0.019206561276421574
0.207,127.29498164014689,0.01983105591979594
0.213,132.19094247246022,0.02047742084763411
0.22,135.86291309669525,0.02111538891393909
0.227,140.7588739290086,0.021752526497411884
0.233,144.4308445532436,0.022403885752113953
0.24,149.3268053855569,0.02302431669397583
0.247,152.99877600979195,0.023677736777367776
0.253,156.67074663402695,0.024296552386440025
0.26,161.56670746634026,0.0249370431791659
0.267,165.2386780905753,0.02557295542955353
0.273,170.13463892288863,0.026200572011317546
0.28,173.80660954712363,0.026849751731747685
0.287,177.47858017135866,0.027460830410610634
0.293,182.37454100367196,0.028104612676729996
0.3,186.04651162790697,0.028721545174007976
0.307,189.718482252142,0.029356241545081437
0.313,193.390452876377,0.0299901089542606
0.32,198.28641370869033,0.030608350507594844
0.327,201.95838433292536,0.03125166861179127
0.333,205.63035495716036,0.03185723324617508
0.34,209.30232558139537,0.032495210089475146
0.347,212.97429620563037,0.033106582869237185
0.353,216.64626682986537,0.033731887228141993
0.36,220.31823745410037,0.034363725531194995
0.367,223.99020807833537,0.03497273987956156
0.373,227.66217870257037,0.03561028024254022
0.38,231.33414932680537,0.03621040968646483
0.387,235.00611995104038,0.036842664078023335
0.393,238.67809057527543,0.03745220419655681
0.4,242.35006119951044,0.03807190223174894
0.407,246.02203182374544,0.03870171746913627
0.413,248.47001223990208,0.03929800673247853
0.42,252.14198286413708,0.03992984684235195
0.427,255.81395348837208,0.04052461394336829
0.433,259.4859241126071,0.04114760286900718
0.44,261.9339045287638,0.04175893823872275
0.447,265.60587515299875,0.042373105010952386
0.453,269.2778457772338,0.04299730230735611
0.46,271.7258261933905,0.04359187730865249
0.467,275.3977968176255,0.04421808384540416
0.473,277.8457772337821,0.04481114336858256
0.48,281.5177478580172,0.0454249925776156
0.487,283.9657282741738,0.04603447045523686
0.493,286.4137086903305,0.04663601388758563
0.5,290.0856793145655,0.047258241778851386
0.507,292.5336597307222,0.04784396636714987
0.513,294.9816401468788,0.04846461899249636
0.52,297.4296205630355,0.04905242192121362
0.527,299.8776009791922,0.049664389353247976
0.533,302.3255813953488,0.050268467417478056
0.54,304.7735618115055,0.05086468469276415
0.547,307.2215422276622,0.051481406794978084
0.553,308.4455324357405,0.0520584141011909
0.56,310.8935128518972,0.052673586376401876
0.567,312.1175030599755,0.05325620229007634
0.573,314.5654834761322,0.05385924852584566
0.58,315.7894736842105,0.054465046848651125
0.587,317.0134638922889,0.05504897748114748
0.593,319.46144430844555,0.055663786565144334
0.6,320.6854345165239,0.056235718134021964
0.607,321.9094247246022,0.056841980186255144
0.613,323.1334149326805,0.05742647740977828
0.62,324.3574051407589,0.05802073096107846
0.627,326.80538555691555,0.05862121363739127
0.633,328.0293757649939,0.05920002370519625
0.64,329.2533659730722,0.059805964679797305
0.647,330.4773561811506,0.06037289138798461
0.653,331.7013463892289,0.060977322972043745
0.66,331.7013463892289,0.06155670746801349
0.667,334.1493268053856,0.06214576617890862
0.673,335.3733170134639,0.06274446133636405
0.68,336.5973072215422,0.06331130516875148
0.687,337.8212974296206,0.06391886314051536
0.693,339.0452876376989,0.06448428775579357
0.7,340.26927784577725,0.06507656065959953
0.707,340.26927784577725,0.06565777324911992
0.713,342.7172582619339,0.06623826364431766
0.72,343.9412484700122,0.06683517517046791
0.727,343.9412484700122,0.06739365901121698
0.733,346.3892288861689,0.0679959344074619
0.74,346.3892288861689,0.0685530301363433
0.747,347.61321909424726,0.06914357544151546
0.753,348.8372093023256,0.06971974391655313
0.76,350.0611995104039,0.07029179660619904
0.767,351.28518971848223,0.07088693718244635
0.773,351.28518971848223,0.07143718857502167
0.78,352.5091799265606,0.0720274738322708
0.787,353.73317013463895,0.07258992043989909
0.793,354.9571603427173,0.07316859574095427
0.8,356.1811505507956,0.07374654934122958
0.807,357.4051407588739,0.0743069146357908
0.813,358.6291309669523,0.0748969274923151
0.82,358.6291309669523,0.0754424408319562
0.827,359.8531211750306,0.07602764641687887
0.833,361.07711138310896,0.07658525590221983
0.84,361.07711138310896,0.07716231043678563
0.847,362.3011015911873,0.07773864420318799
0.853,363.5250917992656,0.07829084641204755
0.86,364.74908200734393,0.07887913371121048
0.867,364.74908200734393,0.07941996208949924
0.873,365.9730722154223,0.08000014488186695
0.88,367.1970624235006,0.08055629963729033
0.887,368.42105263157896,0.0811184308107502
0.893,368.42105263157896,0.08169647537753484
0.9,369.6450428396573,0.0822406336152854
0.907,370.8690330477356,0.08282389135435135
0.913,370.8690330477356,0.08336340671237821
0.92,372.09302325581393,0.08393532727672727
0.927,373.3170134638923,0.0844933355440056
0.933,374.54100367197066,0.08504736861064084
0.94,374.54100367197066,0.08561719039682054
0.947,375.76499388004896,0.08615342548552597
0.953,376.9889840881273,0.0867317220500356
0.96,376.9889840881273,0.08726993093436249
0.967,378.21297429620563,0.08783371280408538
0.973,378.21297429620563,0.08839025510716798
0.98,379.436964504284,0.08893958306431943
0.987,380.6609547123623,0.08951109613544062
0.993,380.6609547123623,0.09003951521317795
1.0,381.88494492044066,0.09060964956249017
1.01,383.108935128519,0.09114329879200779
1.01,383.108935128519,0.09170555525755869
1.02,384.3329253365973,0.09226062841295708
1.03,384.3329253365973,0.09279882278146452
1.03,385.55691554467563,0.09336550576997897
1.04,386.780905752754,0.09388946164904984
1.05,386.780905752754,0.09445478334652435
1.05,388.0048959608323,0.09498715523108114
