Time (min),Force (N),Position (mm)
0.00667,1.615667075,0.000192876
0.0133,7.454100367,0.000881113
0.02,12.85189718,0.001544854
0.0267,18.48225214,0.00223515
0.0333,20.68543452,0.002885351
0.04,16.52386781,0.003562069
0.0467,15.17747858,0.004214447
0.0533,18.48225214,0.004869869
0.06,23.500612,0.005540004
0.0667,28.51897185,0.006189794
0.0733,33.65973072,0.006865919
0.08,38.55569155,0.007506223
0.0867,43.69645043,0.008168939
0.0933,48.71481028,0.008823036
0.1,53.85556916,0.009472408
0.107,59.11872705,0.010140217
0.113,64.1370869,0.01078016
0.12,69.4002448,0.011446207
0.127,74.29620563,0.012088305
0.133,79.31456548,0.012737244
0.14,83.84332925,0.013392996
0.147,88.249694,0.014032568
0.153,92.90085679,0.014698067
0.16,97.18482252,0.015328314
0.167,101.7135863,0.015984442
0.173,106.119951,0.016624467
0.18,110.5263158,0.017267462
0.187,114.8102815,0.017917211
0.193,119.0942472,0.018547141
0.2,123.623011,0.019206561
0.207,127.2949816,0.019831056
0.213,132.1909425,0.020477421
0.22,135.8629131,0.021115389
0.227,140.7588739,0.021752526
0.233,144.4308446,0.022403886
0.24,149.3268054,0.023024317
0.247,152.998776,0.023677737
0.253,156.6707466,0.024296552
0.26,161.5667075,0.024937043
0.267,165.2386781,0.025572955
0.273,170.1346389,0.026200572
0.28,173.8066095,0.026849752
0.287,177.4785802,0.02746083
0.293,182.374541,0.028104613
0.3,186.0465116,0.028721545
0.307,189.7184823,0.029356242
0.313,193.3904529,0.029990109
0.32,198.2864137,0.030608351
0.327,201.9583843,0.031251669
0.333,205.630355,0.031857233
0.34,209.3023256,0.03249521
0.347,212.9742962,0.033106583
0.353,216.6462668,0.033731887
0.36,220.3182375,0.034363726
0.367,223.9902081,0.03497274
0.373,227.6621787,0.03561028
0.38,231.3341493,0.03621041
0.387,235.00612,0.036842664
0.393,238.6780906,0.037452204
0.4,242.3500612,0.038071902
0.407,246.0220318,0.038701717
0.413,248.4700122,0.039298007
0.42,252.1419829,0.039929847
0.427,255.8139535,0.040524614
0.433,259.4859241,0.041147603
0.44,261.9339045,0.041758938
0.447,265.6058752,0.042373105
0.453,269.2778458,0.042997302
0.46,271.7258262,0.043591877
0.467,275.3977968,0.044218084
0.473,277.8457772,0.044811143
0.48,281.5177479,0.045424993
0.487,283.9657283,0.04603447
0.493,286.4137087,0.046636014
0.5,290.0856793,0.047258242
0.507,292.5336597,0.047843966
0.513,294.9816401,0.048464619
0.52,297.4296206,0.049052422
0.527,299.877601,0.049664389
0.533,302.3255814,0.050268467
0.54,304.7735618,0.050864685
0.547,307.2215422,0.051481407
0.553,308.4455324,0.052058414
0.56,310.8935129,0.052673586
0.567,312.1175031,0.053256202
0.573,314.5654835,0.053859249
0.58,315.7894737,0.054465047
0.587,317.0134639,0.055048977
0.593,319.4614443,0.055663787
0.6,320.6854345,0.056235718
0.607,321.9094247,0.05684198
0.613,323.1334149,0.057426477
0.62,324.3574051,0.058020731
0.627,326.8053856,0.058621214
0.633,328.0293758,0.059200024
0.64,329.253366,0.059805965
