Time (min),Force (N),Position (mm)
0.0667,28.518971848225213,0.006189794273462138
0.133,79.31456548347613,0.012737244293115981
0.2,123.62301101591187,0.019206561276421574
0.267,165.2386780905753,0.02557295542955353
0.333,205.63035495716036,0.03185723324617508
0.4,242.35006119951044,0.03807190223174894
0.467,275.3977968176255,0.04421808384540416
0.533,302.3255813953488,0.050268467417478056
0.6,320.6854345165239,0.056235718134021964
0.667,334.1493268053856,0.06214576617890862
0.733,346.3892288861689,0.0679959344074619
0.8,356.1811505507956,0.07374654934122958
0.867,364.74908200734393,0.07941996208949924
0.933,374.54100367197066,0.08504736861064084
1.0,381.88494492044066,0.09060964956249017
1.07,389.22888616891066,0.09609184276268498
1.13,395.34883720930236,0.10149562067550551
1.2,402.69277845777236,0.10686029747881431
1.27,407.5887392900857,0.11215818964161252
1.33,413.70869033047734,0.11738746690203002
1.4,418.60465116279073,0.12253731807331304
1.47,422.2766217870257,0.12765139026266625
1.53,427.17258261933904,0.13270619568743278
1.6,430.84455324357407,0.1376969038565997
1.67,433.29253365973074,0.1426102454700116
1.73,436.96450428396577,0.14749080364095266
1.8,440.63647490820074,0.15231894166686136
1.87,443.08445532435746,0.15708990266711356
1.93,445.5324357405141,0.16178533124329675
2.0,446.75642594859244,0.16645062204442754
2.07,449.20440636474905,0.1710669738722921
2.13,450.42839657282747,0.17562979935997716
2.2,451.6523867809058,0.18011885048789383
2.27,452.87637698898413,0.18458021932865912
