Time (min),Force (N),Position (mm)
0.0667,233,0.15820
0.133,648,0.32770
0.200,1010,0.49740
0.267,1350,0.66660
0.333,1680,0.83580
0.400,1980,1.0053
0.467,2250,1.1751
0.533,2470,1.3444
0.600,2620,1.5135
0.667,2730,1.6831
0.733,2830,1.8531
0.800,2910,2.0223
0.867,2980,2.1913
0.933,3060,2.3610
1.00,3120,2.5308
1.07,3180,2.7002
1.13,3230,2.8692
1.20,3290,3.0390
1.27,3330,3.2087
1.33,3380,3.3782
1.40,3420,3.5471
1.47,3450,3.7168
1.53,3490,3.8865
1.60,3520,4.0560
1.67,3540,4.2248
1.73,3570,4.3944
1.80,3600,4.5641
1.87,3620,4.7337
1.93,3640,4.9025
2.00,3650,5.0721
2.07,3670,5.2418
2.13,3680,5.4114
2.20,3690,5.5801
2.27,3700,5.7496
