Time (min),Force (N),Position (mm)
0.00667,1.615978698352764,0.0001928575792118437
0.0133,7.460668269842966,0.0008807247675487392
0.02,12.871751487392308,0.0015436617693962687
0.0267,18.523562755092822,0.002232656158775064
0.0333,20.745119264868794,0.0028811968069863687
0.04,16.582726973817458,0.0035557403085632066
0.0467,15.241443255163754,0.004205590823842552
0.0533,18.572258290682278,0.004858049649844532
0.06,23.63080546836549,0.005524714146963603
0.0667,28.695498416856385,0.006170716182717999
0.0733,33.890835709517575,0.006842455992599711
0.08,38.84509915867407,0.007478191120756993
0.0867,44.05340407902294,0.008135754105565378
0.0933,49.14462280096672,0.00878434034956364
0.1,54.365711056240286,0.009427825625545873
0.107,59.718203779845005,0.010089150074382052
0.113,64.82849493136258,0.01072246784839771
0.12,70.19461440021114,0.011381195287242494
0.127,75.19432084691431,0.01201582526364414
0.133,80.32481448004151,0.012656807902228385
0.14,84.96624261554244,0.013304102517262533
0.147,89.48806383269407,0.013935022976038455
0.153,94.26631981286036,0.014591097327996481
0.16,98.67450203113744,0.015212022605466806
0.167,103.33942118216896,0.01585803575829597
0.173,107.88413863192477,0.016487792918896373
0.18,112.4348247341521,0.017120073523208337
0.187,116.8673615789666,0.017758589864693138
0.193,121.30310500019864,0.018377240001606704
0.2,125.99738395216474,0.019024443488138254
0.207,129.819375539362,0.01963698212659553
0.213,134.89787203371418,0.020270577444971714
0.22,138.73171134571265,0.020895548383368247
0.227,143.8207350638952,0.021519316175034796
0.233,147.66665669369578,0.02215660525217589
0.24,152.76495304365366,0.022763256671323964
0.247,156.62144075541124,0.02340176690732369
0.253,160.47730563704323,0.024006086630651558
0.26,165.59570342674408,0.02463118941538838
0.267,169.4643194406239,0.02525143732562122
0.273,174.5922637816073,0.025863216932819774
0.28,178.4732738628007,0.026495622027383946
0.287,182.35228936296028,0.027090545406738862
0.293,187.50010684067658,0.027716925159651563
0.3,191.3900549160945,0.028316813014465435
0.307,195.28790384270212,0.028933598633833567
