Time (min),Force (N),Position (mm)
0.0667,28.695498416856385,0.006170716182717999
0.133,80.32481448004151,0.012656807902228385
0.2,125.99738395216474,0.019024443488138254
0.267,169.4643194406239,0.02525143732562122
0.333,212.1811691375244,0.03136031761179016
0.4,251.5767890353565,0.03736505231742619
0.467,287.5753596881468,0.04326836021765786
0.533,317.523025033191,0.04904581474278022
0.6,338.7194102216815,0.05471137830459949
0.667,354.91529273787285,0.06029116968995571
0.733,369.94228817296414,0.0657839337961712
0.8,382.44828134430577,0.07115398065922433
0.867,393.71744027254687,0.07642382472187473
0.933,406.3947304710601,0.08162364374511268
1.0,416.4874059528727,0.08673685140988013
1.07,426.6306070973486,0.09175098315609155
1.13,435.4750128251999,0.09666891146979313
1.2,445.7246485563402,0.1015274465565801
1.27,453.3031544071689,0.10630244258279513
1.33,462.27290552372847,0.11099334167611523
1.4,469.8993424492939,0.11559158558126374
1.47,476.18081963356167,0.12013705412412833
1.53,483.8610309607271,0.1246096330492753
1.6,490.1705142686941,0.12900595915401164
1.67,495.0844882452682,0.13331533407181453
1.73,501.41275018337836,0.13757764866419836
1.8,507.7537564260344,0.14177638304111229
1.87,512.6885492845718,0.1459081484487301
1.93,517.6130484364261,0.1499579006085666
2.0,521.1193109500808,0.15396548157434406
2.07,526.0484448116661,0.15791527672243078
2.13,529.5370454889494,0.16180400345502338
2.2,533.0034955079961,0.1656151541580314
2.27,536.4683979823793,0.16938846653513825
