rl	V(a)	V(b)	V(c)	I(Rlth)	I(Rl)
1.000000000000000e+00	4.641205e+00	4.639742e+00	1.462640e-03	1.462640e-03	1.462892e-03
1.100000000000000e+01	4.651183e+00	4.635214e+00	1.596600e-02	1.451454e-03	1.451705e-03
2.100000000000000e+01	4.661009e+00	4.630754e+00	3.024922e-02	1.440439e-03	1.440687e-03
3.100000000000000e+01	4.670687e+00	4.626362e+00	4.431727e-02	1.429589e-03	1.429836e-03
4.100000000000000e+01	4.680221e+00	4.622036e+00	5.817498e-02	1.418902e-03	1.419147e-03
5.100000000000000e+01	4.689612e+00	4.617773e+00	7.182704e-02	1.408373e-03	1.408616e-03
6.100000000000000e+01	4.698866e+00	4.613574e+00	8.527799e-02	1.398000e-03	1.398241e-03
7.100000000000000e+01	4.707985e+00	4.609436e+00	9.853223e-02	1.387778e-03	1.388017e-03
8.100000000000000e+01	4.716971e+00	4.605358e+00	1.115941e-01	1.377704e-03	1.377942e-03
9.100000000000000e+01	4.725827e+00	4.601338e+00	1.244676e-01	1.367776e-03	1.368012e-03
1.010000000000000e+02	4.734557e+00	4.597376e+00	1.371570e-01	1.357990e-03	1.358224e-03
1.110000000000000e+02	4.743163e+00	4.593471e+00	1.496660e-01	1.348343e-03	1.348575e-03
1.210000000000000e+02	4.751647e+00	4.589621e+00	1.619986e-01	1.338832e-03	1.339062e-03
1.310000000000000e+02	4.760013e+00	4.585824e+00	1.741584e-01	1.329454e-03	1.329683e-03
1.410000000000000e+02	4.768261e+00	4.582080e+00	1.861491e-01	1.320206e-03	1.320434e-03
1.510000000000000e+02	4.776397e+00	4.578389e+00	1.979741e-01	1.311087e-03	1.311313e-03
1.610000000000000e+02	4.784420e+00	4.574747e+00	2.096369e-01	1.302092e-03	1.302317e-03
1.710000000000000e+02	4.792335e+00	4.571156e+00	2.211407e-01	1.293220e-03	1.293443e-03
1.810000000000000e+02	4.800141e+00	4.567613e+00	2.324888e-01	1.284468e-03	1.284690e-03
1.910000000000000e+02	4.807844e+00	4.564117e+00	2.436844e-01	1.275834e-03	1.276054e-03
2.010000000000000e+02	4.815443e+00	4.560668e+00	2.547304e-01	1.267315e-03	1.267534e-03
2.110000000000000e+02	4.822941e+00	4.557265e+00	2.656299e-01	1.258910e-03	1.259127e-03
2.210000000000000e+02	4.830341e+00	4.553907e+00	2.763858e-01	1.250614e-03	1.250830e-03
2.310000000000000e+02	4.837644e+00	4.550593e+00	2.870009e-01	1.242428e-03	1.242642e-03
2.410000000000000e+02	4.844851e+00	4.547322e+00	2.974778e-01	1.234348e-03	1.234561e-03
2.510000000000000e+02	4.851966e+00	4.544094e+00	3.078195e-01	1.226372e-03	1.226584e-03
2.610000000000000e+02	4.858989e+00	4.540906e+00	3.180283e-01	1.218499e-03	1.218709e-03
2.710000000000000e+02	4.865923e+00	4.537759e+00	3.281069e-01	1.210726e-03	1.210935e-03
2.810000000000000e+02	4.872768e+00	4.534653e+00	3.380576e-01	1.203052e-03	1.203259e-03
2.910000000000000e+02	4.879528e+00	4.531585e+00	3.478831e-01	1.195475e-03	1.195681e-03
3.010000000000000e+02	4.886203e+00	4.528556e+00	3.575855e-01	1.187992e-03	1.188197e-03
3.110000000000000e+02	4.892795e+00	4.525564e+00	3.671673e-01	1.180602e-03	1.180806e-03
3.210000000000000e+02	4.899305e+00	4.522610e+00	3.766306e-01	1.173304e-03	1.173506e-03
3.310000000000000e+02	4.905735e+00	4.519691e+00	3.859776e-01	1.166095e-03	1.166297e-03
3.410000000000000e+02	4.912087e+00	4.516809e+00	3.952105e-01	1.158975e-03	1.159175e-03
3.510000000000000e+02	4.918362e+00	4.513961e+00	4.043312e-01	1.151941e-03	1.152139e-03
3.610000000000000e+02	4.924561e+00	4.511148e+00	4.133420e-01	1.144992e-03	1.145189e-03
3.710000000000000e+02	4.930686e+00	4.508368e+00	4.222447e-01	1.138126e-03	1.138322e-03
3.810000000000000e+02	4.936738e+00	4.505622e+00	4.310412e-01	1.131342e-03	1.131537e-03
3.910000000000000e+02	4.942718e+00	4.502908e+00	4.397335e-01	1.124638e-03	1.124832e-03
4.010000000000000e+02	4.948627e+00	4.500226e+00	4.483234e-01	1.118013e-03	1.118206e-03
4.110000000000000e+02	4.954467e+00	4.497576e+00	4.568127e-01	1.111466e-03	1.111658e-03
4.210000000000000e+02	4.960239e+00	4.494956e+00	4.652031e-01	1.104995e-03	1.105186e-03
4.310000000000000e+02	4.965945e+00	4.492367e+00	4.734964e-01	1.098600e-03	1.098789e-03
4.410000000000000e+02	4.971585e+00	4.489808e+00	4.816943e-01	1.092277e-03	1.092466e-03
